ticker,market_cap,pe_ratio,roe,div_yield,net_margin_q0,price_cash,peg_ratio,pb_ratio,eps_growth_5y,eps_growth_this_yr,sales_growth_5y,dividend_payout_ratio
TXT,8476.60,9.91,16.16,0.22,5.98,6.60,0.930,1.54,153.33,-4.545455,9.20,2.279209
BSAC,8644.96,11.05,16.15,4.54,20.90,9.84,1.320,1.86,-26.76,1.273885,-17.59,50.000301
CE,11327.84,9.95,37.36,2.62,13.53,7.33,1.090,3.91,110.40,11.857293,-1.06,36.578171
MFGP,3221.75,0.00,0.00,12.47,0.00,4.21,0.000,0.51,,,,
FE,25483.85,18.20,19.57,3.31,8.26,9.76,0.000,3.65,20.41,-3.488372,-31.06,91.764706
IDXX,21772.71,52.29,283.27,0.00,17.77,42.44,0.000,123.09,160.00,12.678937,59.93,0.000000
PAA,9537.17,5.22,19.20,10.99,6.45,3.58,0.000,0.87,72.60,-33.864542,-28.32,54.545455
CUK,4937.69,6.05,12.29,7.51,14.36,0.95,0.000,0.19,,1.136364,30.35,46.296296
CLR,6496.15,7.74,12.20,1.14,16.75,2.27,1.160,0.91,-18.03,-21.333333,15.60,9.569424
XRAY,10035.61,18.50,10.76,0.88,6.52,11.51,1.580,1.98,-66.00,7.755102,29.60,34.188326
