ticker,market_cap,pe_ratio,roe,div_yield,net_margin_q0,price_cash,peg_ratio,pb_ratio,eps_growth_5y,eps_growth_this_yr,sales_growth_5y,dividend_payout_ratio
PRU,28687.22,6.18,7.81,6.09,7.20,5.48,0.660,0.46,-14.29,4.619333,17.40,43.435341
SNE,79347.58,13.30,14.29,0.42,7.62,6.79,0.000,1.76,,-31.881804,-1.45,5.660389
MU,59532.59,14.96,11.36,0.00,17.01,4.73,2.470,1.63,132.79,-65.528455,42.07,0.000000
ATVI,47322.51,29.72,13.16,0.60,23.18,21.92,2.220,3.69,45.00,9.615385,64.27,18.974359
FOX,17670.95,12.61,14.73,1.58,15.22,9.59,0.000,1.72,,,,16.083916
PSX,31631.31,8.92,13.51,5.00,2.81,6.37,1.180,1.18,-83.52,13.043478,-42.65,53.097345
MFG,32716.95,6.00,6.63,4.06,2.36,3.83,0.000,0.40,,-19.047619,,142.877554
REGN,53707.49,22.75,24.14,0.00,26.91,20.16,1.050,4.85,554.10,23.241733,173.56,0.000000
TJX,71673.66,22.23,59.70,1.54,7.84,17.32,1.970,12.05,70.00,6.367041,42.50,34.328358
CME,79501.40,32.62,9.22,1.35,43.48,27.27,4.970,3.03,75.95,9.705882,51.74,50.761507
RBS,24794.36,6.41,6.67,1.97,17.73,4.20,0.000,0.45,,-6.060606,-54.12,12.500195
BCS,29837.24,5.51,6.27,8.83,11.58,4.09,2.300,0.36,,0.800000,-16.72,81.333333
CTSH,32879.82,14.98,20.60,1.47,10.98,11.90,1.340,2.98,35.09,1.754386,69.67,26.747802
MAR,35734.93,18.34,181.84,1.74,6.07,14.92,2.430,51.26,91.23,2.833333,52.20,50.659764
MMC,53695.36,22.87,29.72,1.71,10.46,17.75,1.600,6.77,75.00,8.798283,24.72,53.529569
COF,38892.00,7.04,10.67,1.88,16.40,4.23,0.830,0.68,45.92,-3.391232,45.23,14.492767
EMR,39604.47,18.39,25.55,3.09,11.79,12.78,2.150,4.66,9.09,-0.271003,-21.37,57.143020
ORAN,36655.57,0.00,0.00,3.74,0.00,2.82,1.860,0.95,,0.877193,,
SYT,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,,,,
CCI,67454.28,27.67,8.30,2.96,16.01,27.67,1.790,6.43,,2.987698,121.10,243.654822
DE,49887.54,15.91,26.92,1.91,8.41,9.62,3.490,4.18,32.83,-3.118712,14.02,29.716549
BCE,42252.51,17.70,18.85,5.16,12.84,7.28,4.200,3.20,-12.07,2.272727,-3.28,94.510175
NGG,49847.39,0.00,0.00,3.13,0.00,10.64,9.890,2.13,,0.783290,,
BAM,65298.57,24.02,2.71,1.16,4.14,8.50,0.000,0.56,154.17,,189.07,27.799228
TRP,51264.77,17.51,13.97,4.23,30.61,10.69,4.340,2.39,54.72,0.000000,-0.32,71.739130
ISRG,65921.85,49.21,18.16,0.00,30.80,46.90,4.680,7.96,573.68,5.728643,109.53,0.000000
SPGI,67878.80,29.22,496.20,0.96,31.69,26.56,2.650,126.64,85.39,10.283316,31.35,31.199105
STZ,35027.14,20.51,14.15,1.64,9.21,15.26,2.450,2.90,726.09,-6.250000,39.19,72.289157
STZ.B,35506.25,20.79,14.15,4.40,9.21,15.46,0.000,2.94,,,,196.626506
CHA,30802.72,0.00,0.00,3.78,0.00,2.13,1.720,0.60,,2.362205,,
CS,26532.52,7.95,7.74,2.43,9.59,8.56,0.370,0.60,,10.526316,-14.07,19.549019
BSX,52301.48,23.56,21.15,0.00,43.78,15.59,2.110,3.76,200.00,11.392405,40.53,0.000000
KMI,44621.75,20.74,6.29,5.08,16.58,9.59,4.100,1.31,-14.29,1.052632,-15.27,104.166667
MFC,32382.53,7.43,13.03,5.08,7.04,6.77,0.700,0.93,113.16,6.250000,36.55,40.670051
EL,68175.78,31.76,48.28,1.01,11.76,27.02,2.870,14.81,179.63,6.928839,46.84,37.869822
NXPI,32246.86,14.30,24.03,1.30,2.74,7.41,1.680,3.34,-116.28,-14.800995,68.06,176.472664
CAJ,27213.03,24.36,4.27,4.57,3.48,8.19,4.140,1.02,3.45,29.245283,-9.64,111.429633
LYB,24653.04,7.72,36.95,5.68,9.78,5.21,1.100,3.06,27.33,2.494802,-21.17,43.887193
AON,50202.37,23.67,55.95,0.81,13.91,18.15,1.690,14.59,154.72,13.631407,6.65,27.716535
CNQ,28786.13,10.64,10.61,4.66,22.13,4.41,2.250,1.09,-241.18,-26.872247,-29.31,33.235294
KMB,49127.47,20.83,3809.60,2.99,11.69,14.90,3.850,253.23,-15.11,5.370102,23.02,68.589744
CM,33648.17,8.26,15.66,5.74,17.70,7.15,2.230,1.22,229.85,2.229654,40.20,51.421801
JCI,29660.31,18.06,8.43,2.68,22.75,12.18,1.450,1.45,23.91,29.591837,133.02,16.403785
BBL,38311.68,0.00,0.00,7.17,0.00,2.50,2.260,0.73,,5.737705,,
ICE,54188.30,25.30,12.77,1.12,29.52,19.09,2.370,3.15,88.89,8.505155,59.35,32.070064
EBAY,29630.13,16.25,50.71,1.72,16.54,11.15,1.320,10.32,,8.189655,-37.99,30.622156
EXC,44945.36,14.33,9.19,3.32,8.53,5.03,3.710,1.30,830.00,-3.416149,30.95,50.830734
ECL,57319.19,34.18,20.11,0.95,10.46,21.42,2.560,6.57,62.90,9.278351,5.06,35.272111
NSC,45212.98,16.96,18.04,2.14,24.10,11.74,1.610,3.01,114.53,7.736944,5.62,36.682927
VRTX,61527.03,55.84,20.97,0.00,28.27,49.79,1.290,10.03,,50.349650,624.73,0.000000
DAL,28810.63,6.14,33.32,3.58,10.14,3.96,0.440,1.90,336.00,-1.094391,17.45,21.994536
INTU,74807.36,48.76,41.03,0.74,22.89,43.98,2.900,20.07,53.98,13.082437,37.02,34.304263
PHG,38115.82,19.01,14.90,1.91,6.00,10.20,1.640,2.70,,2.212389,,56.551724
NTES,43626.68,14.57,37.21,4.85,30.91,19.11,0.520,4.85,9.55,3.544649,507.20,71.244081
HPQ,30874.27,9.13,-261.23,3.27,5.16,7.69,4.480,0.00,-22.73,7.589286,-48.60,34.826044
PSA,40012.20,21.35,30.16,3.49,53.41,19.68,5.650,7.98,71.29,2.139535,32.60,109.739520
TRV,32649.06,13.34,10.03,2.56,8.30,4.18,1.440,1.27,1.36,8.020833,14.36,32.998021
AEP,48819.00,23.25,10.67,2.83,12.34,10.10,3.810,2.45,0.87,3.537736,-12.72,71.979619
SHW,51178.07,26.31,51.35,0.97,8.61,19.11,2.300,12.42,129.82,9.990530,70.75,32.544019
EQIX,49867.29,26.99,5.84,1.73,9.12,27.62,1.550,5.64,77.78,-1.446734,135.02,177.333333
STT,22110.97,10.10,11.81,3.33,18.14,5.85,0.830,1.06,45.68,8.914100,27.12,36.173913
HAL,12969.89,11.89,11.74,4.88,-5.05,4.78,0.620,1.61,-76.71,8.064516,-21.92,-56.250000
HUM,48965.10,20.77,20.89,0.59,4.17,16.46,1.430,4.08,77.02,4.308898,37.53,10.956181
CCL,14705.86,6.33,12.29,7.18,14.36,2.82,0.820,0.58,,-12.727273,30.35,46.296296
DB,16017.49,0.00,-8.08,0.00,-15.54,5.10,0.000,0.22,140.00,-108.881579,-30.59,0.000000
ETN,38719.05,16.49,14.75,3.03,10.34,11.84,1.750,2.40,33.70,1.234568,-3.40,53.992395
LUV,23407.62,10.57,23.31,1.59,10.26,6.65,1.160,2.38,218.18,5.854801,23.60,16.822469
BAX,44750.22,27.14,22.99,1.00,13.80,19.03,2.050,5.71,1.01,11.147541,-25.42,29.629630
EA,31925.01,26.37,18.86,0.00,52.52,24.51,2.240,4.45,-42.98,-4.580153,10.24,0.000000
BSBR,30395.09,8.14,17.23,7.39,17.56,6.31,1.310,1.23,,4.444444,10.47,60.000000
NOK,20516.43,13.56,8.21,1.24,-0.03,6.42,0.730,1.19,,8.000000,56.54,-500000.000000
CHU,24662.09,0.00,0.00,2.22,0.00,1.96,0.000,0.53,,-100.000000,,
TGT,53698.93,16.56,28.66,2.49,4.20,10.34,2.010,4.65,87.65,7.042254,13.76,41.444335
VLO,25337.23,11.30,10.27,6.35,2.24,5.49,0.950,1.12,-77.92,41.754386,-27.92,66.780352
WM,49992.47,26.57,28.14,1.85,10.81,14.06,3.020,7.06,65.31,4.545455,8.83,55.754618
SCCO,27335.33,18.61,21.86,4.52,20.39,12.11,1.180,3.99,28.21,0.000000,29.46,84.210970
PLD,66272.63,27.10,6.09,2.36,47.23,21.54,3.670,2.18,5400.00,12.386707,77.61,85.829960
TRI,37777.08,58.87,7.13,2.00,26.84,27.72,3.150,3.95,,48.837209,-53.42,48.253968
ALL,34372.46,10.38,16.05,1.99,10.85,7.99,1.260,1.48,187.69,-0.575264,26.55,15.340920
APD,51638.77,27.53,16.20,1.98,21.10,17.76,2.060,4.33,43.94,15.834348,-15.27,54.524153
AFL,30042.41,9.36,11.76,2.69,14.81,6.64,2.750,1.05,53.75,0.225225,0.30,25.339367
LRCX,43537.91,20.61,45.72,1.54,21.67,16.97,1.010,9.82,261.46,15.601375,98.72,34.074074
ADI,40088.12,22.49,15.38,2.28,21.06,14.67,1.850,3.43,66.10,-7.766990,119.80,76.543210
INFY,42945.95,18.76,26.68,2.03,18.36,16.86,1.970,5.01,27.27,1.851852,46.27,38.889609
MNST,36041.84,33.07,27.63,0.00,26.37,30.78,0.000,8.65,166.67,12.315271,76.45,0.000000
FMX,30475.53,30.20,6.73,1.73,4.37,14.33,1.510,1.80,13.64,36.482085,2.60,52.482456
ZTS,66281.78,38.34,69.41,0.57,23.96,30.67,3.120,24.55,109.68,8.516484,32.63,25.641108
FIS,87979.91,22.24,9.60,0.98,2.88,17.55,3.050,1.77,-15.09,12.121212,35.30,147.369972
MCK,25676.14,10.07,36.40,1.13,-0.41,4.88,1.390,4.02,-360.26,8.843036,38.58,-33.537764
TEL,27189.14,14.90,17.72,2.26,12.01,10.61,1.430,2.58,48.28,-6.486486,15.11,39.149019
BBDO,45382.48,6.98,19.15,0.72,16.97,5.82,0.000,1.33,,,,5.633882
CRH,29664.21,0.00,0.00,0.99,0.00,7.69,0.000,1.52,,0.000000,,
TLK,25835.37,0.00,0.00,2.44,0.00,16.42,0.000,3.12,,,,
MT,13635.00,50.00,0.63,1.26,-3.48,4.05,0.000,0.34,,373.333333,-3.03,-7.024793
ILMN,40574.94,41.95,22.34,0.00,28.27,33.53,2.610,8.80,292.50,4.414003,101.06,0.000000
ALXN,20851.54,9.70,21.29,0.00,48.17,8.06,0.810,1.85,230.38,-5.749487,101.26,0.000000
FMS,23257.73,15.41,10.32,1.15,6.87,7.01,2.840,1.57,47.06,2.766798,31.71,20.361991
CMI,22775.25,10.00,26.49,3.53,9.59,7.54,1.540,2.69,129.51,-19.601329,36.27,36.363662
PPG,24200.35,16.53,28.25,1.99,8.21,12.19,1.870,4.49,-70.82,5.466238,-0.33,39.155470
GIS,32841.55,15.97,27.33,3.61,12.62,12.74,2.300,4.09,15.63,4.658385,-4.09,56.321839
PCG,7981.15,3.84,21.88,0.00,-44.64,1.50,1.470,1.48,-48.98,4.325700,3.08,0.000000
SRE,41433.04,23.35,9.65,2.73,19.97,11.34,3.440,2.05,60.61,5.162242,3.69,53.453113
GLW,18785.26,14.06,14.29,3.58,8.35,6.14,2.030,1.77,175.00,-8.522727,22.85,85.437723
HCA,43261.16,12.17,-242.04,1.35,6.83,6.90,0.970,0.00,290.79,11.428571,41.72,17.080454
MPC,26766.05,8.53,7.45,5.63,2.11,3.85,0.720,0.64,-102.94,23.886640,21.40,58.145363
SYY,34400.61,18.18,78.49,2.66,3.00,13.16,1.980,13.61,174.19,7.042254,29.98,51.576079
PGR,47136.32,11.98,30.98,0.50,10.17,10.99,2.050,3.57,238.89,-20.089286,97.55,5.952390
MCO,47339.11,30.47,261.43,0.89,29.44,26.67,2.740,57.39,93.00,11.097708,48.87,30.188720
VFC,28250.13,21.11,30.78,2.68,10.54,15.65,1.910,6.18,-50.75,-12.962963,,59.813270
S,37578.50,0.00,-2.61,0.00,-8.25,3.29,0.000,1.46,,-1800.000000,-4.89,0.000000
IBN,42149.37,59.32,4.21,0.22,6.04,65.96,0.000,2.39,-41.67,213.333333,39.38,13.636983
RCI,24376.09,15.25,23.66,3.15,13.55,6.88,3.060,3.44,35.71,3.514377,1.49,50.333501
LBTYB,12259.85,0.00,-17.91,0.00,99.83,5.62,0.000,0.93,,,-36.74,0.000000
FCAU,23338.34,4.04,15.12,0.00,2.60,2.14,1.430,0.73,,-2.295082,-8.28,0.000000
FISV,74191.54,28.67,11.78,0.00,8.77,16.31,1.550,2.15,69.70,24.000000,21.72,0.000000
ED,29232.06,20.09,8.02,3.49,10.69,9.33,9.790,1.60,6.50,2.288330,-7.26,75.184460
VIV,20804.66,17.11,7.00,5.73,11.31,5.19,1.390,1.17,-22.22,21.739130,-25.25,98.612481
APH,27848.61,24.98,26.78,1.07,14.04,18.94,2.430,6.03,77.55,2.406417,57.17,26.666667
AMTD,19398.41,9.54,24.24,3.46,34.26,7.65,0.850,2.22,154.29,-26.634383,78.69,34.540390
SIRI,29308.59,34.95,-204.95,0.80,11.73,21.30,2.220,0.00,50.00,25.000000,74.80,26.317175
RCL,13748.02,6.90,17.06,4.74,17.16,4.16,0.880,1.13,891.67,-13.312369,29.28,34.899329
WY,20099.19,70.95,3.32,5.04,-1.16,25.27,0.000,2.46,-225.81,79.487179,-5.36,-1236.363636
IMO,16231.12,13.37,6.80,3.00,6.43,6.61,0.000,0.89,-71.29,-30.722892,-28.30,30.697817
CHT,28485.17,27.00,8.71,3.01,15.98,12.85,0.000,2.28,7.50,-2.877698,-12.87,81.617647
ADSK,40494.87,130.52,-165.74,0.00,6.55,87.61,1.660,0.00,25.00,97.333333,25.69,0.000000
DLPH,1114.63,5.33,43.64,0.00,0.39,2.64,0.640,2.45,,-16.460905,,0.000000
ROP,37301.79,26.94,15.85,0.58,32.94,20.38,2.370,3.85,141.78,3.448276,54.33,12.180637
DXC,5061.73,3.04,16.98,4.21,-7.98,1.23,0.940,0.56,-45.30,-35.131894,58.61,-13.440000
EIX,25020.96,14.71,11.73,3.70,10.89,6.97,2.980,1.60,57.41,-3.617021,-3.49,67.105263
PPL,24324.34,12.88,14.73,5.21,22.47,7.42,0.000,1.76,30.61,3.265306,74.12,69.620547
YUM,27350.77,25.61,-13.90,2.07,23.12,22.52,1.800,0.00,-4.60,9.295775,-53.96,45.410628
LBTYA,12323.11,0.00,-17.91,0.00,99.83,5.65,0.000,0.93,,-67.129630,-36.74,0.000000
WDC,17251.34,174.88,1.01,3.47,-7.66,5.69,12.010,1.83,-228.39,-37.007874,-0.78,-49.261084
WIT,21153.69,14.67,17.75,0.40,16.38,13.36,1.660,2.79,0.00,4.545455,16.37,4.166840
CP,34103.77,20.13,32.42,1.02,31.31,15.13,1.750,6.41,77.10,12.106538,-2.91,19.242439
TSN,24461.13,12.10,14.36,2.51,4.71,7.92,1.290,1.68,95.00,13.919414,15.62,30.324964
SYF,17950.33,6.82,19.62,3.01,19.63,5.81,1.030,1.32,97.47,-8.158508,60.04,15.855856
FTV,22930.06,19.53,17.53,0.41,10.09,13.67,0.000,3.09,,7.758621,,14.213198
SWK,19658.27,15.21,16.97,2.16,6.62,10.59,1.620,2.54,10.78,6.309524,27.38,43.464635
MTB,17164.16,9.54,13.37,3.34,27.79,7.79,1.600,1.20,108.07,0.581818,51.09,31.976744
LBTYK,11785.39,0.00,-17.91,0.00,99.83,5.41,0.000,0.89,,,-36.74,0.000000
XEL,36333.33,26.23,10.74,2.34,11.90,11.09,4.110,2.74,17.31,6.060606,-1.92,61.363869
DFS,19909.36,7.11,26.59,2.73,20.94,6.81,1.190,1.79,64.12,-1.872247,44.59,19.383281
BEN,10996.34,8.26,12.76,4.88,21.99,7.63,0.870,1.01,-19.10,1.190476,-31.59,43.028060
AAL,6833.98,3.27,-1414.94,2.49,3.68,1.56,0.490,0.00,-36.92,3.877551,5.89,10.498688
PEG,27271.82,16.46,11.19,3.48,16.80,8.53,4.580,1.81,81.58,2.134146,-7.54,56.456626
ROST,36494.75,22.20,50.11,1.00,10.36,18.21,1.980,10.86,130.77,6.550218,49.85,22.173961
RYAAY,15186.15,12.49,18.64,0.00,12.06,8.20,0.820,2.19,,-0.583658,27.01,0.000000
AVB,30000.36,22.84,7.26,2.85,35.42,20.10,4.060,2.71,12.84,5.032120,41.52,107.801610
PCAR,22640.19,9.51,24.87,1.96,9.33,6.52,1.440,2.33,135.06,-20.815138,48.12,18.631759
ADM,21383.83,11.79,9.63,3.76,2.13,7.56,0.000,1.11,2.50,2.160494,-26.05,58.775510
PH,22905.11,15.15,25.18,1.97,9.63,11.46,1.710,3.61,96.25,-10.548523,9.80,33.587786
ZBH,26665.29,16.42,13.64,0.74,14.18,9.83,2.320,2.14,-6.98,5.717916,70.08,17.550274
GOL,1583.87,9.33,-10.35,0.00,-0.96,2.66,0.000,0.00,,60.714286,-35.63,0.000000
SLF,25306.67,11.07,13.62,3.86,6.72,10.65,1.150,1.51,32.20,6.683805,45.01,50.000151
PXD,19655.43,14.48,11.46,1.48,8.13,6.15,0.830,1.62,142.35,10.146699,155.61,39.198306
IR,5505.83,35.30,8.86,0.00,6.49,16.28,6.900,2.94,,-35.526316,,0.000000
IP,14324.01,8.23,23.49,5.61,5.47,4.66,0.000,1.86,,-30.474041,-1.42,66.775462
ROK,21308.08,21.42,102.93,2.22,13.75,18.07,2.620,20.56,125.00,2.883506,3.54,52.240717
RELX,47559.40,0.00,0.00,1.34,0.00,14.95,2.960,17.01,,-16.806723,,
EQR,29523.93,22.68,9.36,2.86,35.93,15.86,3.490,2.81,27.27,4.011461,4.59,87.645126
EW,43698.25,37.51,31.73,0.00,24.08,34.26,2.250,10.51,321.43,12.387792,90.08,0.000000
INCY,17040.72,36.56,20.05,0.00,20.70,31.42,1.030,6.52,,6.726457,454.47,0.000000
CERN,22637.32,30.11,16.66,0.99,9.30,15.46,1.850,5.24,50.00,18.672199,77.11,43.636628
WMB,22503.90,18.94,7.29,8.19,10.53,7.57,3.650,1.38,-20.00,3.030303,17.44,214.084507
PKX,13998.83,17.23,3.50,2.54,2.83,3.21,0.000,0.37,-401.28,-100.000000,3.70,43.776824
HSY,33349.93,27.46,73.68,1.94,14.40,20.47,3.370,19.03,30.63,6.574394,7.73,56.697352
TROW,28799.37,15.14,29.45,2.49,37.69,13.16,1.440,4.01,86.61,9.045849,39.04,34.902411
HPE,15246.43,6.55,13.68,4.07,4.22,3.11,1.000,0.88,,1.129944,,53.932584
AMP,16577.61,8.28,37.39,2.88,14.60,7.42,0.000,3.07,40.30,13.478261,4.07,27.793716
BX,38927.92,25.02,13.86,4.22,27.93,23.33,1.100,2.54,61.36,31.168831,32.63,80.794970
DG,40094.43,24.30,25.53,0.81,6.09,20.26,1.800,6.03,81.19,11.390285,47.97,20.031299
PAYX,28392.13,27.07,41.21,3.13,26.72,19.80,3.650,11.05,104.55,9.507042,64.58,82.943144
KEP,11375.62,0.00,-2.60,0.00,-3.04,1.41,4.920,0.20,-360.47,59.139785,5.36,0.000000
EXPE,12810.30,18.83,13.15,1.49,4.68,6.86,1.270,2.36,,17.107943,117.35,36.266667
DISH,16439.37,12.09,13.99,0.00,10.93,8.10,0.000,1.42,71.05,-20.384615,-11.33,0.000000
HLT,25386.47,23.40,-770.65,0.66,9.32,16.99,2.280,0.00,50.00,7.948718,-6.73,19.736907
WDAY,38021.30,0.00,-12.92,0.00,-13.25,364.44,0.000,15.29,,-17.605634,416.50,0.000000
FCX,14495.21,499.50,0.18,2.00,-1.12,9.99,0.000,0.83,-95.92,1250.000000,-23.93,-166.652779
NTRS,16926.04,12.22,15.15,3.46,21.64,8.50,1.190,1.75,97.33,3.016591,57.93,42.296073
NMR,13881.73,6.41,9.28,5.18,13.47,0.00,0.100,0.54,-100.00,-411.111111,17.15,32.857143
VTR,19310.44,13.45,4.08,6.12,11.18,12.92,4.700,1.83,-14.63,-4.675325,27.16,266.388793
WLTW,25971.59,18.39,13.99,1.29,11.55,12.03,1.590,2.50,-38.55,9.489051,110.76,32.418993
TTM,5446.94,0.00,-0.05,0.00,-0.39,1.57,0.000,0.73,-118.18,15.000000,42.71,0.000000
ERIC,26138.56,71.27,4.41,0.84,1.02,19.55,0.000,3.02,-257.14,381.818182,-14.31,100.014288
DLTR,18457.29,15.82,19.71,0.00,3.50,8.79,1.680,2.95,-1075.76,5.672269,177.65,0.000000
BF.A,28111.62,32.87,47.29,1.19,25.25,30.95,0.000,14.02,,,,39.106364
IX,20695.70,11.70,11.09,3.18,14.30,3.71,1.350,0.73,2071.43,923.684211,67.74,37.101449
MCHP,21242.24,17.56,23.87,1.66,12.23,8.32,1.430,3.78,37.25,-19.736842,169.53,58.102767
A,24914.55,25.38,20.49,0.89,14.59,20.29,1.890,5.14,39.02,9.646302,25.30,29.752066
RACE,28568.84,36.98,48.53,0.00,18.57,24.27,2.410,17.15,,0.000000,,0.000000
RSG,30285.46,28.42,13.44,1.71,10.42,13.78,3.240,3.73,94.59,5.688623,18.94,48.648795
KB,13379.57,4.92,10.86,0.00,17.16,3.78,0.880,0.40,-43.55,0.715308,-18.75,0.000000
BF.B,29540.38,34.54,47.29,1.13,25.25,32.52,4.630,14.73,,2.890173,,39.106364
K,21775.18,16.16,41.84,3.58,7.07,11.87,3.850,6.57,-26.79,-4.568528,-5.88,81.428862
TU,22678.02,17.29,16.37,4.68,11.92,6.94,2.850,2.82,-3.64,5.000000,-1.25,79.545455
NOW,62506.83,577.77,7.60,0.00,18.11,107.10,11.230,29.02,,55.384615,467.21,0.000000
OKE,28390.88,22.38,20.27,5.44,12.58,16.17,1.470,4.56,80.00,21.498371,-12.12,121.824501
SHG,12702.84,1.70,12.35,0.00,18.04,4.04,1.870,0.38,-198.39,-50.626566,180.54,0.000000
WEC,32839.89,29.08,11.18,2.43,15.08,15.93,4.480,3.21,46.15,4.469274,40.26,70.670588
FITB,16839.62,8.55,10.96,4.05,25.65,6.51,1.120,0.86,211.11,5.415162,62.75,28.571429
IBKR,20036.14,22.97,2.12,0.83,6.24,88.65,1.930,2.52,88.24,10.132159,57.18,19.138756
CAH,15312.80,9.56,45.21,3.67,-2.81,6.04,1.590,15.32,8.79,1.515152,64.41,-13.464226
WB,9780.24,19.94,23.63,0.00,28.00,16.51,0.000,4.29,,-4.587156,802.89,0.000000
MYL,8274.32,3.63,19.35,0.00,0.15,1.92,1.350,0.70,-117.24,0.904977,45.46,0.000000
MGA,13916.17,7.60,16.65,3.49,4.48,4.27,1.200,1.25,36.27,5.454545,10.50,29.143951
EC,36881.68,10.08,26.22,5.38,20.45,5.05,0.000,2.04,-100.00,4.597701,-34.75,53.932887
DTE,22349.21,18.45,10.52,3.48,9.23,8.98,2.920,1.89,19.02,5.238095,-10.59,64.183937
HIG,18521.64,9.15,13.60,2.51,10.05,7.45,1.360,1.17,66.02,-3.893805,7.11,23.008850
KEY,15498.84,8.88,12.54,4.63,22.06,7.36,1.490,1.04,46.15,4.444444,72.77,45.679012
PFG,12056.05,7.85,11.12,5.10,8.59,5.62,0.870,0.83,61.05,8.602151,51.05,45.252617
MHK,8579.23,11.95,9.27,0.00,7.46,6.30,1.520,1.05,50.45,2.490040,34.71,0.000000
NEM,42058.93,39.76,5.07,1.08,28.80,14.57,0.000,1.91,-20.00,69.696970,2.21,16.138329
NWL,6009.46,8.16,15.44,6.48,1.20,2.40,5.350,1.20,-289.47,-10.000000,40.99,383.349306
ES,31547.31,28.24,9.21,2.33,10.66,14.38,4.400,2.50,31.08,5.507246,5.47,80.783206
DLR,27147.90,19.50,5.79,3.33,18.07,14.96,3.030,2.95,76.92,-2.255639,108.54,183.830569
CXO,12781.90,21.31,3.38,1.23,-15.35,4.57,1.380,0.73,-501.15,20.655738,67.03,-22.408901
SWKS,16775.60,17.86,23.03,1.79,25.02,12.37,1.170,3.93,207.50,-0.175131,68.48,36.820161
STM,24111.90,23.40,15.33,0.76,10.80,12.51,3.540,3.39,,32.173913,13.75,17.391456
CFG,12724.72,7.71,8.75,5.24,22.20,5.30,1.340,0.63,206.67,0.781250,59.71,40.837696
CHKP,15312.25,18.12,23.10,0.00,41.39,17.76,2.390,4.29,53.06,5.444646,35.78,0.000000
KR,26795.66,15.21,20.72,1.91,1.36,5.28,2.700,3.13,-7.32,6.363636,18.83,31.372703
NUE,12271.79,9.64,12.12,3.95,5.63,6.01,0.880,1.15,365.71,-10.208817,19.34,38.888983
BXP,21209.77,19.50,6.64,2.87,17.62,17.59,2.840,2.71,80.00,8.273894,26.29,118.787879
SSL,6595.84,0.00,0.00,2.90,0.00,2.53,1.550,0.42,,-30.875576,,
WCN,26967.54,37.46,10.66,0.72,10.52,18.36,3.730,3.89,50.00,7.352941,164.95,34.579439
ATUS,16603.08,53.96,13.32,0.00,1.42,6.20,0.000,7.34,,58.000000,,0.000000
RF,13221.44,8.91,10.77,4.49,23.42,6.47,1.240,0.89,68.18,4.516129,24.35,41.059875
DVN,6107.25,11.56,8.33,2.26,-5.18,2.92,2.280,1.03,-193.67,-9.420290,-59.70,-36.734319
TAP,10844.97,11.04,7.15,4.55,1.86,5.84,2.140,0.79,-20.45,-14.096916,182.27,205.407256
MGM,10144.15,27.84,3.50,2.52,15.89,6.13,6.530,0.85,-75.00,2.597403,20.78,13.131313
ABC,17906.34,12.01,49.95,1.93,0.36,8.99,1.520,5.83,-82.89,8.462623,52.23,54.368932
ORLY,27062.56,20.20,514.91,0.00,13.70,16.41,1.380,68.80,151.55,8.165548,39.51,0.000000
SBAC,33614.52,35.37,-4.24,0.49,7.30,37.44,0.000,0.00,2200.00,4.358068,42.76,114.729572
XLNX,20170.69,22.96,33.38,1.83,27.05,20.62,2.660,7.64,81.13,-2.586207,34.08,43.274854
UAL,12791.80,4.26,29.16,0.00,6.96,2.41,0.230,1.13,,2.904564,10.27,0.000000
SNAP,19669.62,0.00,-46.63,0.00,-60.25,0.00,0.000,8.68,,-29.333333,,0.000000
INFO,30556.90,32.24,10.95,0.95,11.39,20.20,2.520,3.43,,12.918660,303.39,54.838710
MTD,17657.18,32.18,118.08,0.00,18.65,27.20,2.220,42.49,129.02,9.749671,23.40,0.000000
LNC,8043.45,4.51,9.91,3.89,5.13,6.17,0.440,0.41,0.83,18.390805,24.84,36.951586
ESS,19658.40,22.24,6.90,2.63,30.08,21.81,4.240,3.07,212.07,4.857997,121.24,116.941529
BBY,20151.00,12.70,49.17,2.57,3.53,8.26,1.430,5.79,213.10,4.942339,16.81,34.423467
KLAC,24564.63,17.97,50.92,2.17,21.55,15.98,1.320,9.14,1.65,20.094563,31.95,47.619048
CNHI,12164.69,10.60,19.87,0.00,5.06,5.10,0.000,1.99,-27.27,-4.761905,,0.000000
TAL,33156.23,307.84,4.12,0.00,3.29,72.70,2.320,12.60,375.00,-18.032787,735.13,0.000000
BAP,15334.66,12.36,16.02,3.16,24.25,10.48,1.210,1.91,63.89,7.590966,-42.89,39.010308
